generation,trial_id,accuracy,learning_rate,warmup_ratio,rank,alpha,dropout,target_modules
2,32,0.888,0.00018945363309072244,0.0,8,96,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
2,33,0.7995,0.00012625204999725212,0.0,16,96,0.0,"['q_lin', 'v_lin']"
2,34,0.8645,0.00011131050580158078,0.0,8,96,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
2,35,0.867,0.00010594878729765216,0.0,8,96,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
2,36,0.8655,0.00011605142223413065,0.0,16,96,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
2,37,0.826,7.584695869124011e-05,0.0,8,96,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
2,38,0.894,0.00018300726205046534,0.0,16,96,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
2,39,0.87,0.0001158524519537389,0.0,8,96,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
2,40,0.821,0.00016417510225965606,0.0,8,96,0.0,"['q_lin', 'v_lin']"
3,41,0.8935,0.00018832501471299255,0.06,16,96,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
3,42,0.861,0.00011586249027092578,0.0,16,96,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
3,43,0.8925,0.00019004568890547128,0.0,8,96,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
3,44,0.894,0.00020212558657842225,0.0,8,96,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
3,45,0.869,0.00010959911833785912,0.0,16,96,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
3,46,0.8315,0.00019311612304448206,0.0,16,96,0.0,"['q_lin', 'v_lin']"
3,47,0.807,0.00014228124226807958,0.0,16,96,0.0,"['q_lin', 'v_lin']"
3,48,0.862,0.0001105007440446087,0.0,16,96,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
3,49,0.8335,0.0002228857377070148,0.0,8,96,0.0,"['q_lin', 'v_lin']"
3,50,0.8335,8.261205916356826e-05,0.0,8,96,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
3,51,0.788,0.00011941372491547254,0.0,8,96,0.0,"['q_lin', 'v_lin']"
3,52,0.78,0.00011210647969555633,0.0,16,96,0.0,"['q_lin', 'v_lin']"
3,53,0.868,0.00011161477697331603,0.0,8,96,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
3,54,0.8295,0.00019078009420075423,0.0,8,96,0.0,"['q_lin', 'v_lin']"
3,55,0.8505,0.00021207094765573158,0.0,16,96,0.0,"['q_lin', 'v_lin']"
3,56,0.8365,0.000193444792146829,0.0,16,96,0.0,"['q_lin', 'v_lin']"
3,57,0.8895,0.00025614970736130837,0.0,8,96,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
3,58,0.8965,0.00017936106622034437,0.0,8,96,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
3,59,0.8975,0.00021052396071161102,0.0,16,96,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
3,60,0.872,0.00011605142223413065,0.0,16,96,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
4,61,0.8945,0.00018832501471299255,0.06,16,96,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
4,62,0.713,4.1777215788293935e-05,0.0,8,96,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
4,63,0.8805,0.0001239201739064066,0.0,8,96,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
4,64,0.859,0.00011161477697331603,0.0,8,96,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
4,65,0.891,0.00015976724463410532,0.0,8,96,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
4,66,0.8505,0.00010452549927388346,0.0,8,96,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
4,67,0.9005,0.0002732494226228213,0.0,8,96,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
4,68,0.7725,5.9825819532638845e-05,0.0,8,96,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
4,69,0.895,0.00024591478509400035,0.0,16,96,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
4,70,0.902,0.000223635146440847,0.0,16,96,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
4,71,0.8615,0.00011191010318011918,0.0,8,96,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
4,72,0.8505,0.00010716414129820127,0.0,8,96,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
4,73,0.871,0.0001317528578363555,0.0,8,96,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
4,74,0.8745,0.00012708396969875928,0.0,8,96,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
4,75,0.8555,0.00011161477697331603,0.0,8,96,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
4,76,0.864,0.00011161477697331603,0.0,8,96,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
4,77,0.8395,7.829630908302214e-05,0.0,16,96,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
4,78,0.895,0.0002671738450121875,0.0,8,96,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
4,79,0.86,0.00011605142223413065,0.0,16,96,0.2,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
4,80,0.899,0.00024973314124097473,0.0,8,96,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
5,81,0.898,0.000223635146440847,0.0,16,96,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
5,82,0.899,0.0002155362377714288,0.0,8,96,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
5,83,0.888,0.00020231356326446434,0.0,8,96,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
5,84,0.8875,0.0002170026935764212,0.0,16,96,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
5,85,0.895,0.00021226663481671733,0.0,16,96,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
5,86,0.898,0.0002502717118317187,0.0,8,96,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
5,87,0.8505,9.387167294786116e-05,0.0,8,96,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
5,88,0.901,0.00027215942360557174,0.0,8,96,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
5,89,0.902,0.00023983013493730489,0.0,16,96,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
5,90,0.8935,0.0002762235305278627,0.0,16,32,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
5,91,0.8735,0.00011719641382957213,0.0,16,96,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
5,92,0.8755,0.0001347803436479813,0.06,8,96,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
5,93,0.902,0.0002350499841896225,0.0,16,96,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
5,94,0.898,0.0002344303688061847,0.0,8,96,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
5,95,0.8545,0.00024552779825670303,0.0,8,96,0.0,"['q_lin', 'v_lin']"
5,96,0.9055,0.000223635146440847,0.0,16,96,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
5,97,0.9015,0.0002298892910060142,0.0,16,96,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
5,98,0.8915,0.00020297693253581853,0.0,16,96,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
5,99,0.865,0.00011161477697331603,0.0,8,96,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
5,100,0.8725,0.00012869226463065172,0.0,8,96,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
